"ADRESA","ADRESARAW","LOCALITATE","NUME"
"bulevardul general vasile milea, nr. 19, ap. 4","BLD. GEN. VASILE MILEA, NR. 19, AP. 4","ARAD","BORZA RODICA"
"parcul trian nr. /a, jud. bihor","PARCUL TRIAN NR. /A, JUD. BIHOR","ORADEA","BOT IOANA-ŞTEFANIA"
"aleea neptun, bl. 36, sc. a, ap. 2, jud. hunedoara","ALEEA NEPTUN, BL. 36, SC. A, AP. 2, JUD. HUNEDOARA","DEVA","BOTA LAURA-DANIELA"
" strada mihai viteazu, nr.3"," STR.Mihai Viteazu, Nr.3","SATU MARE","BOTEA DUMITRU"
"strada m.viteazu, nr.3","STR. M.VITEAZU, Nr.3","SATU MARE","BOTEA ILEANA"
"bulevardul tomis nr. 149, bl. a2, ap. 2, parter","BD. TOMIS NR. 149, BL. A2, AP. 2, PARTER","CONSTANTA","BOTEZATU JOIŢA"
"strada nicolae titulescu nr. 333, ap.1","STR. NICOLAE TITULESCU NR. 333, AP.1","ARAD","BOTOŞ-GAVRILESCU IOAN"
"strada mihai eminescu nr. 16, bl. e3, parter","STR. MIHAI EMINESCU NR. 16, BL. E3, PARTER","PIATRA NEAMT","BOŢU RODICA"
"piaţa unirii nr. 8, ap. 19, ","PIAŢA UNIRII NR. 8, AP. 19, ","TIMIŞOARA","BRAŞOVEANU MIHAELA"
"al.lapusneanu, nr.76, bl.le20b","Al.Lapusneanu, Nr.76, Bl.LE20b","CONSTANTA","BRATU DANIEL DUMITRU"
"nr. 100","NR. 100","BĂLŢEŞTI","BRATU-GHEORGHE CĂTĂLINA-MIHAELA"
"strada al. i. lăpedatu nr. 1","STR. AL. I. LĂPEDATU NR. 1","SACELE","BREBENEL ANDREEA-MARIA"
"strada gheorghe lazăr nr. 9, corp c, et. 1, hqc105","STR. GHEORGHE LAZĂR NR. 9, CORP C, ET. 1, HQC105","TIMIŞOARA","BREHUI MARILENA"
"strada liviu rebreanu, nr. 22, jud. -năsăud","STR. LIVIU REBREANU, NR. 22, JUD. BISTRIŢA-NĂSĂUD","BISTRIŢA","BRIA ADRIAN-EUGEN"
"calea vitan, nr.8, bl.v51, sc.1, ap.1, sectorul 3","Calea Vitan, Nr.8, Bl.V51, Sc.1, Ap.1, Sectorul 3","BUCURESTI","BRISCAN MIHAELA RUXANDRA"
"strada dorin pavel nr. 30","STR. DORIN PAVEL NR. 30","SEBEŞ","BRÎNZAŞ ELENA-MIHAELA"
"bulevardul nicolae bălcescu, bl. l5, sc. b, ap. 4, parter","BLD. NICOLAE BĂLCESCU, BL. L5, SC. B, AP. 4, PARTER","PITEŞTI","BRUMĂ SORANA-CRISTINA"
"strada calea dumbrăvii nr. 19 b, sc. b, ap. 11","STR. CALEA DUMBRĂVII NR. 19 B, SC. B, AP. 11","SIBIU","BUCŞA DRAGOŞ"
" calea dumbravii, bl.19b, ap.11"," CALEA DUMBRAVII, Bl.19B, Ap.11","SIBIU","BUCŞA RADU-GABRIEL"
"bulevardul dimitrie pompeiu, nr. 8, et. 4, hpe, sector 2","BDUL DIMITRIE POMPEIU, NR. 8, ET. 4, HPE, SECTOR 2","BUCURESTI","BUCUR ALEXANDRU"
"strada republicii, nr. 36, ap. 1-2","STR. REPUBLICII, NR. 36, AP. 1-2","JIMBOLIA","BUCUR BIANCA MONICA "
"calea moţilor nr. 85, bl. m4a, ap. 2","CALEA MOŢILOR NR. 85, BL. M4A, AP. 2","ALBA IULIA","BUCUR COSMINA-EUGENIA"
"bulevardul chisinău nr.15, bl.a4, sc.2,parter, ap.46, sectorul 2","B-DUL CHISINĂU Nr.15, Bl.A4, Sc.2,parter, Ap.46, Sectorul 2","BUCURESTI","BUCUR NICOLETA"
"strada rubin patiţia, nr. 1a, jud. cluj","STR. RUBIN PATIŢIA, NR. 1A, JUD. CLUJ","CLUJ-NAPOCA","BUDA DANIEL"
"drumul taberei, nr. 39, bl. 801, sc. a, parter, ap. 4, sector 6","DRUMUL TABEREI, NR. 39, BL. 801, SC. A, PARTER, AP. 4, SECTOR 6","BUCUREŞTI","BUDECI MARIANA"
"strada 1 decembrie 1918, bl. 18, sc. a, ap. 1, jud. dolj","STR. 1 DECEMBRIE 1918, BL. 18, SC. A, AP. 1, JUD. DOLJ","CALAFAT","BUDIANĂ IONUŢ-RĂZVAN"
"p-ta.avram iancu, nr.9, ap.2, jud.cluj","P-TA.AVRAM IANCU, Nr.9, Ap.2, JUD.CLUJ","CLUJ-NAPOCA","BUDUŞAN SILVIA-VALERIA"
"strada n.titulescu, nr.4a, bl.3, sc.a, ap.2, jud. dâmboviţa","STR. N.TITULESCU, Nr.4A, Bl.3, Sc.A, Ap.2, JUD. DÂMBOVIŢA","GAEŞTI","BUIBĂR IULIANA"
"strada lipscani nr.27","STR. LIPSCANI Nr.27","SLATINA","BUICESCU RODICA"
"bulevardul eroilor, nr. 42, ap. 5, jud. cluj","CLUJ-NAPOCA, B-DUL EROILOR, NR. 42, AP. 5, JUD. CLUJ","CLUJ-NAPOCA","BUIGA ANCA "
"strada ştefan cel mare, bl. 34, sc. a, ap. 2","STR. ŞTEFAN CEL MARE, BL. 34, SC. A, AP. 2","VASLUI","BULUMAC  MARIN"
"mihai bravu, bl.15, ap.4","MIHAI BRAVU, Bl.15, Ap.4","MACIN","BURADATENCU ADRIANA"
"strada 1 decembrie, nr. 17, bl. 17, parter","STR. 1 DECEMBRIE, NR. 17, BL. 17, PARTER","MĂCIN","BURADATENCU DRAGOŞ ANDREI"
"strada tudor vladimirescu , bl. d-53, sc. c, ap. 1","STR. TUDOR VLADIMIRESCU , BL. D-53, SC. C, AP. 1","ZALĂU","BURAN IOAN-DUMITRU"
"justitiei, bl.1, sc.b, ap.1","Justitiei, Bl.1, Sc.B, Ap.1","PITEŞTI","BURCEA MARIUS"
"bulevardul muşat bl. 35, ap. 21","BLD. ROMAN MUŞAT BL. 35, AP. 21","ROMAN","BURGHELEA ALINA-ELENA"
"strada 9 mai nr. 52, sc. d, ap. 3","STR. 9 MAI NR. 52, SC. D, AP. 3","BACAU","BURLUI - BUZNEA LACRAMIOARA"
"strada 24 ianuarie nr. 8, jud. alba","STR. 24 IANUARIE NR. 8, JUD. ALBA","SEBEŞ","BURZ LIDIA-MARIA"
"strada 24 ianuarie nr. 8, jud. alba","STR. 24 IANUARIE NR. 8, JUD. ALBA","SEBEŞ","BURZ OLIMPIU"
"strada ştefan cel mare nr. 53, bl. g1, sc. a, ap. 4","STR. ŞTEFAN CEL MARE NR. 53, BL. G1, SC. A, AP. 4","SUCEAVA","BUSUIOC OVIDIU"
"strada alexadru constantinescu nr. 35,parter, ap. 1, sector 1","STR. ALEXADRU CONSTANTINESCU NR. 35,PARTER, AP. 1, SECTOR 1","BUCUREŞTI","BUŞOI CRISTIAN-SILVIU"
"bulevardul naţiunile unite nr. 1, bl. 108a, et. 4, biroul c, sector 5","BDUL NAŢIUNILE UNITE NR. 1, BL. 108A, ET. 4, BIROUL C, SECTOR 5","BUCUREŞTI","BUTA MĂDĂLINA-CRISTINA"
"infratirii, nr.52, ap.1","INFRATIRII, Nr.52, Ap.1","CHISINEU CRIS","BUTAR ILEANA"
"strada principală nr. 22","STR. PRINCIPALĂ NR. 22","SÂNSIMION","BUTEANU ANDRA-IOANA"
"strada nucilor nr. 34","STR. NUCILOR NR. 34","DRAGOMIREŞTI","BUTNARU CONSTANTIN-NECULAI"
"strada zaharia.boiu, nr.2","STR. ZAHARIA.BOIU, Nr.2","SIBIU","BUŢIU  LILIANA-IULIANA"
"strada lomonosov nr. 1, bl. 1, ap. 2","STR. LOMONOSOV NR. 1, BL. 1, AP. 2","SIBIU","BUŢIU ANTONIE"
"strada libertăţii nr. 12, ap. 26, parter","STR. LIBERTĂŢII NR. 12, AP. 26, PARTER","ROMAN","BUŢUREANU-CĂRPUŞOR ANDREEA-LUMINIŢA"
"strada volovăţului nr. 1-3","STR. VOLOVĂŢULUI NR. 1-3","RĂDĂUŢI","BUZDUGĂ DANA-ALINA "
"nationala, nr.64","Nationala, Nr.64","OVIDIU","CABA OANA"
"nr. 417","NR. 417","SIMAND","CADARIU ALEXANDRU"
"strada revoluţiei, nr. 2, jud. caraş severin","STR. REVOLUŢIEI, NR. 2, JUD. CARAŞ SEVERIN","ORAVIŢA","CAHNIŢĂ CORNELIA-ELENA"
"strada constanţei nr. 48","STR. CONSTANŢEI NR. 48","INDEPENDENŢA","CALAIGI ANAMARIA"
"aleea independentei, nr.2, bl.c 4, sc.4, ap.7","ALEEA INDEPENDENTEI, Nr.2, Bl.C 4, Sc.4, Ap.7","MOTRU","CALINA MARCEL HORATIU"
"general dragalina, nr.22-24, sc. a, ap.5","Gen.Dragalina, Nr.22-24, SC. A, Ap.5","ARAD","CÂMPAN ADRIANA-GABRIELA"
"strada m.viteazu, nr.13","STR. M.VITEAZU, Nr.13","SATU MARE","CANDREA IUSCO -CARMEN"
"strada george cosbuc, nr.9, jud. maramureş","STR. GEORGE COSBUC, Nr.9, JUD. MARAMUREŞ","BAIA MARE","CARDOŞ STELUŢA ELENA"
"bulevardul general eral vasile milea, bl. b1, ap. 1 şi 3, jud. ","B-DUL GENERAL VASILE MILEA, BL. B1, AP. 1 ŞI 3, JUD. SIBIU","SIBIU","CÂRJE RADU "
"emil isac, nr.2, ap.9","EMIL ISAC, Nr.2, Ap.9","CLUJ-NAPOCA","CÂRLĂNARU DAN-MIRCEA"
"piaţa unirii, bl.n, ap.6","PIAŢA UNIRII, Bl.N, Ap.6","CRAIOVA","CÂRSTEA-CABA TEREZIA-EMANOILA-MARGARETA"
"strada tudor vladimirescu, bloc u, sc. a, ap. 1, parter","STR. TUDOR VLADIMIRESCU, BLOC U, SC. A, AP. 1, PARTER","MIHAIL KOGĂLNICEANU","CÂRSTOCEA ROXANA"
"strada smeurei nr. 40","STR. SMEUREI NR. 40","PITEŞTI","CÂRSTOIU VALERICA"
"strada smeurei, nr. 4","STR. SMEUREI, NR. 4","PITEŞTI","CÂRSTOIU VALERICA"
"bulevardul 9 mai nr. 17, bl. b9, ap. 42, parter","B-DUL 9 MAI NR. 17, BL. B9, AP. 42, PARTER","PIATRA NEAMT","CASAPU ALEXANDRU"
"bulevardul 9 mai nr. 17, bl. b9, sc. c, ap. 42, parter","B-DUL 9 MAI NR. 17, BL. B9, SC. C, AP. 42, PARTER","PIATRA NEAMŢ","CASAPU LIVIU-ALEXANDRU"
"nr. 265/a, ap. 2","NR. 265/A, AP. 2","ORŢIŞOARA","CATARGIU ROXANA"
"strada ion hălăuceanu nr. 5, bl. 30, sc. a","STR. ION HĂLĂUCEANU NR. 5, BL. 30, SC. A","CÂMPULUNG MOLDOVENESC","CATARGIU STELIAN"
"strada ion hălăuceanu nr. 5, bl. 30, sc. a","STR. ION HĂLĂUCEANU NR. 5, BL. 30, SC. A","CÂMPULUNG MOLDOVENESC","CATARGIU TUDOR-MARIAN"
"strada traian nr.37 parter","STR. TRAIAN Nr.37 PARTER","CONSTANTA","CAUŢINUC NICOLAE"
"piaţa pache protopopescu, nr.1, parter, ap. 1, sector 2","PIAŢA PACHE PROTOPOPESCU, NR.1, PARTER, AP. 1, SECTOR 2","BUCUREŞTI","CAZACU CRISTINA-VALENTINA"
"strada tudor vladimirescu, bl. b13, parter","STR. TUDOR VLADIMIRESCU, BL. B13, PARTER","MOINEŞTI","CAZAN  DIANA"
"strada amiral constantin bălescu nr. 16, ap. 1, sector 1","STR. AMIRAL CONSTANTIN BĂLESCU NR. 16, AP. 1, SECTOR 1","BUCUREŞTI","CĂLBOREAN ALINA"
"bulevardul corneliu coposu, nr.3, bl. 101, sc.c, et.1, ap. 42","B-DUL CORNELIU COPOSU, NR.3, BL. 101, SC.C, ET.1, AP. 42","BUCURESTI","CĂPÂLNAŞ ELENA"
"pţa revoluţiei, nr. 3, ap. 18","PŢA REVOLUŢIEI, NR. 3, AP. 18","BAIA-MARE","CĂPUŞAN NICULINA"
"p-ţa unirii, nr. 12, et. 1, ap. 10a","P-ŢA UNIRII, NR. 12, ET. 1, AP. 10A","CLUJ-NAPOCA","CĂRĂBAŞ-GHILE BIANCA-LAVINA"
"soseaua bucureşti-constanţa nr. 204 bis ","ŞOS. BUCUREŞTI-CONSTANŢA NR. 204 BIS ","DOR MĂRUNT","CĂRĂULEANU CRISTINA"
"egalitatii, nr.14","EGALITATII, Nr.14","PITEŞTI","CĂUNEI FLORESCU MARIANA"
"strada petru maior nr. 49, ap. 4","STR. PETRU MAIOR NR. 49, AP. 4","REGHIN","CENGHER MARIA-ANGELA"
"iancu jianu, nr.5, ap.1,3","Iancu Jianu, Nr.5, Ap.1,3","CARACAL","CERNAT COSTIN SERBAN"
"i.jianu, nr.5, ap.1-3","I.JIANU, Nr.5, Ap.1-3","CARACAL","CERNAT PAULINA"
"piaţa unirii, nr. 16, jud. bistrada iţa-","PIAŢA UNIRII, NR. 16, JUD. BISTRIŢA-NĂSĂUD","NĂSĂUD","CEUCA IOAN"
"piaţa unirii nr. 16","PIAŢA UNIRII NR. 16","NĂSĂUD","CEUCA MARINEL-IOAN"
"bulevardul 1 decembrie 1918, bl. m4, parter","BD. 1 DECEMBRIE 1918, BL. M4, PARTER","MANGALIA","CHARCOVSCHI ANCA ALINA"
"strada mihai eminescu nr. 102-104, parter stânga, sector 2","STR. MIHAI EMINESCU NR. 102-104, PARTER STÂNGA, SECTOR 2","BUCUREŞTI","CHELARU ANA-LUISA"
"strada 1 decembrie 1918, nr.16","STR.1 DECEMBRIE 1918, NR.16","CAREI","CHEREŞTEŞIU IOAN"
"strada 1 decembrie 1918, nr.16","STR. 1 DECEMBRIE 1918, NR.16","CAREI","CHEREŞTEŞIU ZSOLT"
"strada mihai viteazu nr. 8","STR. MIHAI VITEAZU NR. 8","CARANSEBEŞ","CHERŞA MARIA MARICICA"
"bulevardul dacia nr. 40, bl. u14, parter","B-DUL DACIA NR. 40, BL. U14, PARTER","ORADEA","CHINDLEA ECATERINA-LAVINIA"
"i.c.bratianu, bl.d1","I.C.Bratianu, Bl.D1","TARGOVISTE","CHINTEA ANCA-RODICA"
"strada republicii,bl.e3a, sc.g, parter","STR. REPUBLICII,BL.E3A, SC.G, PARTER","PITESTI","CHIRAN GABRIELA"
"strada principală nr. 362","STR. PRINCIPALĂ NR. 362","DEDA","CHIRILĂ ANA- MARIA"
"cartier mănăştur, strada câmpului, nr. 7-9, et. 1","CARTIER MĂNĂŞTUR, STR. CÂMPULUI, NR. 7-9, ET. 1","CLUJ-NAPOCA","CHIRILĂ ANA-MARIA"
"eroilor, bl.9a, sc.g, ap.3","EROILOR, Bl.9A, Sc.G, Ap.3","ZIMNICEA","CHIRIŢĂ FLORIAN"
"bulevardul camil ressu, nr. 39, bl. z5, sc. 3, parter, ap. 32, sect. 3","BD. CAMIL RESSU, NR. 39, BL. Z5, SC. 3, PARTER, AP. 32, SECT. 3","BUCUREŞTI","CHIRIŢĂ FLORIN -CORNELIU"
"petru rares , bl.274, sc.d, parter","PETRU RARES , Bl.274, Sc.D, PARTER","VASLUI","CHIRIŢĂ MARIA"
"cartier războieni, strada războieni nr. 2, bl. a1, sc. a, parter, ap. 2-3","CARTIER RĂZBOIENI, STR. RĂZBOIENI NR. 2, BL. A1, SC. A, PARTER, AP. 2-3","PITEŞTI","CHIRIŢĂ-NICOLESCU ARIADNA"
"strada gării nr. 5, bl. b21, parter, ap. 2, ap 4","str. Gării nr. 5, bl. B21, parter, ap. 2, ap 4","IANCA","CHIRNOAGĂ RALUCA-MIHAELA"
"griviţei, nr.172","GRIVIŢEI, Nr.172","CĂLĂRAŞI","CHIRU MARIA DANA"
"strada paul chinezu, nr.2, sad 6","STR. PAUL CHINEZU, NR.2, SAD 6","TIMIŞOARA","CHIŞ FELICIA"
"gării, nr.21, bl.b/21, ap.8","GĂRII, Nr.21, Bl.B/21, Ap.8","IANCA","CHIŞCANU VIOREL VIVIAN"
"strada principală nr. 381b, jud. mureş","STR. PRINCIPALĂ NR. 381B, JUD. MUREŞ","UNGHENI","CHIŞIU SEVER-ALEX"
"iuliu maniu, nr.60","Iuliu Maniu, Nr.60","BRASOV","CHIVU DANIELA EUGENIA"
"stefan cel mare, nr.20, bl.d3, sc.b, ap.2","STEFAN CEL MARE, Nr.20, Bl.D3, Sc.B, Ap.2","MANGALIA","CHIVU LENUTA"
"strada barabaş bela nr. 12","STR. BARABAŞ BELA NR. 12","ARAD","CIACHIR AMALIA -MARIA"
"soseaua afumaţi nr. 721","ŞOS. AFUMAŢI NR. 721","PETRĂCHIOAIA","CICHIRDAN ALEXANDRA"
" tiglina i, nr.1, bl.a 6, ap.17-18"," Tiglina I, Nr.1, Bl.A 6, Ap.17-18","GALATI","CILLIOTA LIDIA OTILIA"
"strada paul chinezu nr. 6, ap. 7","STR. PAUL CHINEZU NR. 6, AP. 7","TIMIŞOARA","CIMPOEŞU ANCA-CRISTINA"
"paul chinezu, nr.5, ap.7","Paul Chinezu, Nr.5, Ap.7","TIMISOARA","CIMPOEŞU MIHAI-FLORIN"
"infratirii, nr.75","Infratirii, Nr.75","CHISINEU CRIS","CIOARĂ  MIHAELA"
"strada înfrăţirii nr. 75, ap. 8","STR. ÎNFRĂŢIRII NR. 75, AP. 8","CHIŞINEU CRIŞ","CIOARĂ  SEVER MIHAI"
"portului, nr.14","PORTULUI, Nr.14","GIURGIU","CIOBANU  DINEL VICTOR"
"strada victoriei, nr. 15","STR. VICTORIEI, NR. 15","DETA","CIOBANU ANA -ŞTEFANIA"
"bulevardul dacia, nr.11, parter, ap. 1, sector 1","B-DUL DACIA, NR.11, PARTER, AP. 1, SECTOR 1","BUCUREŞTI","CIOBANU ANA -ŞTEFANIA"
"aleea flacăra, nr.2","ALEEA FLACĂRA, Nr.2","OLTENIŢA","CIOBANU MARIANA"
"pieţei, nr.18bis","PIEŢEI, Nr.18bis","TIRGU CARBUNESTI","CIOBANU VALERICA   CEZARINA"
"strada mihai viteazu, nr.23, jud. ","STR. MIHAI VITEAZU, NR.23, JUD. SUCEAVA ","SUCEAVA","CIOBÎCĂ LĂCRĂMIOARA"
"strada mare nr. 54","STR. MARE NR. 54","LUMINA","CIOBOTARU GABRIELA"
"eroilor, nr.10 bis, et.1","EROILOR, Nr.10 bis, ET.1","PITESTI","CIOCANEL CARMEN VIORELA"
"strada poştei nr.3, ap. iii, jud. mureş","STR. POŞTEI NR.3, AP. III, JUD. MUREŞ","TIRGU MURES","CIOCEA DELIA-SIMONA"
"bulevardul vasile milea nr. 33-37, jud. ","B-DUL VASILE MILEA NR. 33-37, JUD. ARAD","ARAD","CIOIA ADRIAN"
"calea vitan , nr. 10, bl. v50a, sc.1, et.2,ap. 9, sector 3","CALEA VITAN , NR. 10, BL. V50A, SC.1, ET.2,AP. 9, SECTOR 3","BUCUREŞTI","CIOPLEA ALEXANDRU-VALENTIN"
"g.cobuc, nr.7","G.COBUC, Nr.7","ORASTIE","CIORA AURORA-MIRELA"
"strada braşov, nr, 15, bl. e9, parter, ap. 4, sector 6","STR. BRAŞOV, NR, 15, BL. E9, PARTER, AP. 4, SECTOR 6","BUCURESTI","CIORGODĂ PETRONELA"
"strada crizantemelor nr. 3, bl. 14, sc. b, ap. 18, parter","STR. CRIZANTEMELOR NR. 3, BL. 14, SC. B, AP. 18, PARTER","HUSI","CIOROIU GEORGE LODOVICO"
"calea bucuresti, nr.27a","CALEA BUCURESTI, Nr.27A","CRAIOVA","CIOVICĂ GHEORGHE"
"strada petrolului nr. 2a, ap. 10, et. 4, sector 4","STR. PETROLULUI NR. 2A, AP. 10, ET. 4, SECTOR 4","BUCUREŞTI","CIUBOTARU RALUCA- ELENA"
"strada cuza vodă nr. 9, jud. mureş","STR. CUZA VODĂ NR. 9, JUD. MUREŞ","TÂRGU MUREŞ","CIUBUCĂ DRAGOŞ-ALEXANDRU"
"strada cuza vodă nr. 9, jud. mureş","STR. CUZA VODĂ NR. 9, JUD. MUREŞ","TÎRGU MUREŞ","CIUBUCĂ DRAGOŞ-ALEXANDRU"
"aleea scolii, nr.2","ALEEA SCOLII, Nr.2","GALATI","CIUCĂ LIVIU BOGDAN"
"bulevardul iuliu maniu, nr. 61, bl.8p, sc.5, et. 1, ap. 168, sector 6","B-DUL IULIU MANIU, NR. 61, BL.8P, SC.5, ET. 1, AP. 168, SECTOR 6","BUCURESTI","CIUDOESCU GABRIEL CEZAR"
"sf. vineri, nr.4, sectorul 3","SF. VINERI, Nr.4, Sectorul 3","BUCURESTI","CIUHAN AURORA BRĂILA"
"pantelimon, nr.221, bl.201a, sc.a, ap.1, sectorul 2","Pantelimon, Nr.221, Bl.201A, Sc.A, Ap.1, Sectorul 2","BUCURESTI","CIUREA COSMINA ANDREEA"
"bulevardul d.cantemir, nr.5, bl.6, sc.1, ap.2, sectorul 4","B-DUL D.CANTEMIR, Nr.5, Bl.6, Sc.1, Ap.2, Sectorul 4","BUCURESTI","CIUREA IULIANA"
"bulevardul dorebanţilor nr. 27, bl. a24, sc. 2, ap. 11, parter","BD. DOREBANŢILOR NR. 27, BL. A24, SC. 2, AP. 11, PARTER","Brăila","CIUTACU FANEL MARIAN"
"","Viziru","VIZIRU","CIUTACU FANEL MARIAN"
"a.i.cuza, nr.50","A.I.CUZA, Nr.50","BRAILA","CIUTACU LENUŢA"
"strada smeurei, nr. 4","STR. SMEUREI, NR. 4","PITEŞTI","CÎRSTOIU MARIN"
"strada tudor vladimirescu,nr. 100","STR. TUDOR VLADIMIRESCU,NR. 100","PODU TURCULUI","CLIVETI CĂTĂLINA"
"garii, bl.b21","Garii, Bl.B21","IANCA","CLO?CĂ AURELIAN-DANIEL"
"soseaua bucuresti târgoviste, nr.35-39b, bl.r8, sc.c, ap.1","SOS.BUCURESTI TÂRGOVISTE, Nr.35-39B, Bl.R8, Sc.C, Ap.1","BUFTEA ","COADĂ ION"
"strada principală nr. 425","STR. PRINCIPALĂ NR. 425","VAMA BUZĂULUI","COBELSCHI ANA-MIHAELA"
"strada clucerului nr. 55, et. 4, ap. 12, sector 1","STR. CLUCERULUI NR. 55, ET. 4, AP. 12, SECTOR 1","BUCURESTI","COCEA RUXANDRA IOANA"
"strada teilor nr.45, bl. ps6, sc. b, ap. 3","STR. TEILOR NR.45, BL. PS6, SC. B, AP. 3","PITEŞTI","COCHINESCU ALIN SILVIU"
"strada conac nr. 60","STR. CONAC NR. 60","DUMBRĂVIŢA","COCIORVĂ OCTAVIAN"
"bulevardul nicolae iorga nr. 137 ","B-DUL NICOLAE IORGA NR. 137 ","VALENII DE MUNTE","CODESCU EUGENIA"
"strada martirilor deportaţi nr. 35","STR. MARTIRILOR DEPORTAŢI NR. 35","SATU MARE","CODREAN ADINA-GHEORGHINA"
"strada horea, nr.8, ap.19","STR.HOREA, NR.8, AP.19","SATU-MARE","CODREANU MARIA -ANA"
"strada i.c. visarion, bl. a3, ap. 2, jud. dâmboviţa","TITU, STR. I.C. VISARION, BL. A3, AP. 2, JUD. DÂMBOVIŢA","TITU","COJOCARU MARIA"
"soseaua nicolina nr. 20, bl. 947, sc. b, parter","ŞOS. NICOLINA NR. 20, BL. 947, SC. B, PARTER","IAŞI","COJOCARU ROXANA-ADIANA"
"strada măgurii, nr. 2","STR. MĂGURII, NR. 2","CODLEA","COJOCARU SAROLTA"
"mircea voda, nr.35, bl.m27, sc.a, et. 5, ap.13, sector 3","MIRCEA VODA, NR.35, BL.M27, SC.A, ET. 5, Ap.13, SECTOR 3","BUCURESTI","COLIBAN RODICA"
"bulevardul ion mihalache, nr. 104, bl. 85, sc.c, et.1, ap. 62, sector 1","B-DUL ION MIHALACHE, NR. 104, BL. 85, SC.C, ET.1, AP. 62, SECTOR 1","BUCURESTI","COMAN ANDREIA"
"strada griviţei nr. 1, jud. maramureş","STR. GRIVIŢEI NR. 1, JUD. MARAMUREŞ","VIŞEU DE SUS","COMAN MARIA-IOANA"
"strada eroilor nr. 380 bis, jud. bacău","STR. EROILOR NR. 380 BIS, JUD. BACĂU","NICOLAE BĂLCESCU","COMAN MARIUS"
"strada capitan pantea ioan nr. 13a","STR. CPT. PANTEA IOAN NR. 13A","MORENI","COMAN MIHAI"
"strada principală, nr.170b, jud. mureş","STR. Principală, Nr.170B, JUD. MUREŞ","SOVATA","COMAN ONORIU"
"bulevardul d.cantemir, nr.25, bl.2, sc.2, ap.35, sectorul 4","B-DUL D.CANTEMIR, Nr.25, Bl.2, Sc.2, Ap.35, Sectorul 4","BUCURESTI","COMAN ŞURUBARU AURELIA"
"strada doinei nr. 9, bl. 25, sc. c, ap. 1","STR. DOINEI NR. 9, BL. 25, SC. C, AP. 1","CUGIR","COMAN TEODOR-IOAN"
"strada mihai eminescu, bl. 7, ap. 4, jud. braşov","STR. MIHAI EMINESCU, BL. 7, AP. 4, JUD. BRAŞOV","VICTORIA","COMANICI DANIEL-PETRU"
"bulevardul general eral vasile milea, bl. 11, ap. 66","B-DUL G-RAL VASILE MILEA, BL. 11, AP. 66","SIBIU","COMŞA DELIA-ELENA"
"strada uranus nr. 21, sc. a, ap. 2","STR. URANUS NR. 21, SC. A, AP. 2","BRASOV","COMŞA DUMITRU"
"strada korosi csoma şandor nr. 3, sc. d, ap. 1 ","STR. KOROSI CSOMA ŞANDOR NR. 3, SC. D, AP. 1 ","MIERCUREA-CIUC","COMŞIA ALEXANDRU"
"strada gospodinelor, nr. 25, sector 4","STR. GOSPODINELOR, NR. 25, SECTOR 4","BUCURESTI","CONDOR LUCIA-IULIANA"
"baltita, nr.3, bl.b19, sc.1, ap.25, sectorul 4","Baltita, Nr.3, Bl.B19, Sc.1, Ap.25, Sectorul 4","BUCURESTI","CONDOR MIHAELA-MARIA-SILVIA"
"ciprian porumbescu, bl.c3, ap.2","Ciprian porumbescu, Bl.C3, Ap.2","PANCIU","CONDRUŢ OANA FRANCESCA"
"bulevardul gheorghe duca nr. 8, parter, ap. 1, sector 1","B-DUL GHEORGHE DUCA NR. 8, PARTER, AP. 1, SECTOR 1","BUCUREŞTI","CONSTANTIN DELIA"
"general eral eremia grigorescu, nr. 101,","G-RAL EREMIA GRIGORESCU, NR. 101,","TG. BUJOR","CONSTANTIN OANA"
"strada dunării, bl.b6, a4.4, sc. a, parter","STR. DUNĂRII, Bl.B6, A4.4, SC. A, PARTER","ALEXANDRIA","CONSTANTIN RODICA"
"horia, nr.5","Horia, Nr.5","SLATINA","CONSTANTINESCU ALEXANDRU IULIAN"
"strada eroilor nr. 163","STR. EROILOR NR. 163","BREZOI","CONSTANTINESCU ANA LOREDANA"
"soseaua olteniţei , nr. 178a, bl.2, sc.2, parter, ap. 44, sector 4","ŞOS. OLTENIŢEI , NR. 178A, BL.2, SC.2, PARTER, AP. 44, SECTOR 4","BUCURESTI","CONSTANTINESCU ARIADNA ROSSANA"
"zona centru, bl. d1, sc.b, ap. 2","ZONA CENTRU, BL. D1, SC.B, AP. 2","BASCOV","CONSTANTINESCU ELENA DANIELA"
"republicii, nr.95","REPUBLICII, Nr.95","ADJUD","CONSTANTINESCU GINA"
"strada brăilei nr. 136, bl. b-3, parter, ap. 41","STR. BRĂILEI NR. 136, BL. B-3, PARTER, AP. 41","GALATI","CONSTANTINESCU MARICICA"
"strada baba novac, nr.8, bl.t1, sc.1, ap.7, sectorul 3","STR. BABA NOVAC, Nr.8, Bl.T1, Sc.1, Ap.7, Sectorul 3","BUCURESTI","CONSTANTINESCU TINCA"
"strada cloşca, nr. 1","STR. CLOŞCA, NR. 1","SLATINA","CONSTANTINESCU VERONICA"
"strada horia nr. 1","STR. HORIA NR. 1","SLATINA","CONSTANTINESCU VIOLETA"
"strada cuza vodă, bl. d2, tronson 2, parter","STR. CUZA VODĂ, BL. D2, TRONSON 2, PARTER","PAŞCANI","CORDONEANU ELENA-CRISTINA"
